file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,6292.0,3864.0,0.7171916,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,1,496.0,565.0,0.6921332,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,2,3274.0,864.0,0.67708004,0.0,False,1.0,human_correct_label,14750,1
301.tiff,find_and_suppress,3,3918.0,1310.0,0.6677014,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,4,6129.0,281.0,0.66404086,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,5,788.0,612.0,0.65783393,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,6,841.0,2013.0,0.65770006,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,7,518.0,591.0,0.6546027,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,8,3390.0,3791.0,0.6518494,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,9,61.0,242.0,0.65175885,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,10,1330.0,3770.0,0.6507989,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,11,85.0,303.0,0.64898974,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,12,3032.0,2232.0,0.6489115,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,13,3791.0,4396.0,0.64740175,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,14,3151.0,2419.0,0.6460546,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,15,5765.0,1785.0,0.6437387,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,16,212.0,1184.0,0.64348525,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,17,134.0,1021.0,0.6430662,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,18,1582.0,4724.0,0.64079946,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,19,618.0,641.0,0.63933676,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,20,760.0,1500.0,0.6388876,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,21,988.0,4557.0,0.637307,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,22,1123.0,4256.0,0.6353155,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,23,5420.0,3154.0,0.6350804,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,24,6264.0,4760.0,0.63461304,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,25,674.0,453.0,0.6337707,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,26,6171.0,2425.0,0.6337039,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,27,1841.0,403.0,0.6336855,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,28,5520.0,1236.0,0.6334969,0.0,False,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,29,4671.0,1564.0,0.63261443,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,30,5075.0,2721.0,0.6324547,0.0,False,1.0,human_rejected_label,15046,2
301.tiff,find_and_suppress,31,2808.0,2364.0,0.63244945,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,32,3657.0,4412.0,0.6320822,0.0,False,1.0,human_rejected_label,15006,2
301.tiff,find_and_suppress,33,5538.0,3407.0,0.6310975,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,34,4422.0,1223.0,0.6295949,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,35,5678.0,3307.0,0.6294331,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,36,4439.0,4207.0,0.627729,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,37,1122.0,4144.0,0.62720025,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,38,3200.0,1256.0,0.62716484,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,39,1734.0,140.0,0.6266248,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,40,5846.0,3554.0,0.626472,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,41,1192.0,3251.0,0.62632394,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,42,424.0,706.0,0.6249276,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,43,256.0,1234.0,0.6247342,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,44,350.0,3002.0,0.62461686,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,45,3468.0,3103.0,0.6245103,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,46,4680.0,4657.0,0.6239769,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,47,4855.0,373.0,0.6237296,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,48,1984.0,3035.0,0.623632,0.0,False,1.0,non_human_findings,-1,0
